Date,Open,High,Low,Close,Adj Close,Volume
2016-08-04,143.229996,144.000000,141.300003,142.270004,140.325439,36000
2016-08-05,142.940002,144.039993,141.899994,142.350006,140.404358,43900
2016-08-08,142.220001,142.449997,140.509995,141.559998,139.625122,29100
2016-08-09,141.820007,143.369995,141.070007,141.529999,139.595535,48000
2016-08-10,142.210007,160.800003,141.559998,153.500000,151.401962,206000
2016-08-11,153.110001,154.199997,151.679993,152.250000,150.169022,108500
2016-08-12,151.800003,158.460007,151.800003,156.500000,154.360947,84500
2016-08-15,158.130005,161.440002,156.649994,158.000000,155.840424,68200
2016-08-16,157.110001,158.220001,153.619995,153.960007,151.855667,54300
2016-08-17,152.770004,152.910004,150.009995,151.699997,149.626541,61700
2016-08-18,152.309998,154.389999,151.389999,152.759995,150.672028,72500
2016-08-19,152.449997,155.509995,150.699997,151.259995,149.192551,30600
2016-08-22,150.860001,151.839996,149.300003,150.039993,147.989212,64400
2016-08-23,149.720001,154.789993,149.589996,153.020004,150.928513,76600
2016-08-24,153.360001,153.970001,151.029999,151.710007,149.636414,42100
2016-08-25,151.000000,153.770004,151.000000,152.559998,150.474792,48400
2016-08-26,152.240005,153.679993,149.960007,151.339996,149.271469,64800
2016-08-29,150.470001,152.740005,150.000000,150.259995,148.206223,53500
2016-08-30,150.619995,151.699997,149.550003,150.520004,148.462677,53300
2016-08-31,151.089996,151.089996,149.839996,150.300003,148.245682,52200
2016-09-01,149.899994,152.649994,149.899994,152.649994,150.563522,52100
2016-09-02,152.699997,154.289993,151.869995,153.830002,151.727417,83300
2016-09-06,154.589996,154.809998,152.179993,153.720001,151.618927,40900
2016-09-07,153.940002,156.860001,152.960007,154.619995,152.506638,107400
2016-09-08,153.880005,155.289993,151.380005,151.630005,149.557495,89000
2016-09-09,150.880005,151.899994,149.080002,149.210007,147.170593,101400
2016-09-12,149.350006,151.229996,148.759995,149.800003,147.752518,132000
2016-09-13,149.000000,150.020004,146.470001,147.149994,145.138718,60000
2016-09-14,147.750000,148.889999,146.119995,146.179993,144.181976,30600
2016-09-15,146.169998,146.910004,145.630005,146.399994,144.398987,37700
2016-09-16,146.520004,146.520004,143.029999,143.850006,141.883865,74700
2016-09-19,143.500000,146.000000,143.500000,144.639999,142.663055,42600
2016-09-20,145.589996,146.699997,144.660004,145.729996,143.738159,66700
2016-09-21,146.000000,147.300003,145.110001,145.949997,143.955109,56900
2016-09-22,145.910004,151.600006,145.910004,150.529999,148.472504,92400
2016-09-23,151.009995,151.009995,148.460007,148.520004,146.490021,35200
2016-09-26,148.179993,148.179993,144.300003,144.500000,142.524948,60200
2016-09-27,144.000000,148.369995,144.000000,148.190002,146.164520,86800
2016-09-28,147.880005,149.539993,145.039993,146.130005,144.132675,58800
2016-09-29,146.649994,147.000000,143.339996,143.410004,141.449860,40300
2016-09-30,143.199997,149.259995,142.690002,148.160004,146.134933,115900
2016-10-03,147.520004,147.589996,144.330002,145.119995,143.136490,72700
2016-10-04,145.600006,146.399994,142.529999,143.490005,141.528778,59700
2016-10-05,144.289993,144.639999,140.070007,141.440002,139.506775,284000
2016-10-06,141.529999,143.410004,140.509995,142.500000,140.552307,94200
2016-10-07,142.460007,143.300003,140.789993,141.470001,139.536377,99500
2016-10-10,141.350006,143.690002,140.740005,141.580002,139.644867,85900
2016-10-11,141.759995,142.800003,138.600006,140.300003,138.382370,59600
2016-10-12,139.389999,142.789993,137.220001,141.789993,139.851974,92500
2016-10-13,142.070007,142.820007,140.889999,141.869995,139.930923,56300
2016-10-14,142.199997,142.199997,139.960007,140.350006,138.431686,31600
2016-10-17,140.100006,142.240005,140.000000,141.229996,139.299652,26700
2016-10-18,142.000000,143.660004,140.000000,142.399994,140.453644,35600
2016-10-19,141.889999,144.429993,141.110001,143.979996,142.012085,43800
2016-10-20,143.279999,144.789993,142.649994,142.889999,140.936951,35700
2016-10-21,143.240005,143.339996,141.740005,143.160004,141.203262,29300
2016-10-24,144.550003,144.630005,143.179993,144.559998,142.584122,25900
2016-10-25,144.940002,145.910004,144.279999,145.339996,143.353455,27200
2016-10-26,145.789993,146.979996,144.080002,144.470001,142.740891,46800
2016-10-27,144.839996,145.039993,140.710007,141.559998,139.865707,103900
2016-10-28,141.520004,145.419998,141.520004,145.089996,143.353485,86800
2016-10-31,145.089996,145.089996,141.250000,141.300003,139.608826,62500
2016-11-01,141.910004,142.919998,140.639999,141.410004,139.717514,35600
2016-11-02,140.940002,143.110001,140.139999,142.720001,141.011841,43900
2016-11-03,142.009995,142.199997,141.000000,141.380005,139.687881,34300
2016-11-04,141.740005,142.500000,140.089996,140.559998,138.877670,35500
2016-11-07,140.559998,141.490005,139.770004,140.369995,138.689957,57500
2016-11-08,139.100006,143.529999,139.100006,141.270004,139.579208,34300
2016-11-09,128.000000,157.970001,125.000000,157.809998,155.921219,254100
2016-11-10,155.839996,160.869995,153.940002,160.490005,158.569168,69000
2016-11-11,158.199997,169.580002,158.199997,167.479996,165.475494,83600
2016-11-14,167.500000,168.100006,162.690002,164.979996,163.005402,67600
2016-11-15,165.220001,166.330002,162.869995,164.600006,162.629974,44400
2016-11-16,164.960007,165.869995,164.210007,165.320007,163.341339,27500
2016-11-17,164.639999,165.050003,162.970001,164.970001,162.995544,27100
2016-11-18,164.369995,166.119995,164.250000,165.440002,163.459930,29600
2016-11-21,164.839996,165.759995,164.529999,164.899994,162.926376,23900
2016-11-22,165.139999,168.940002,164.589996,165.020004,163.044952,75000
2016-11-23,165.470001,168.550003,164.050003,164.729996,162.758423,27400
